,131767
གཡོགས་པའི,4
ར་ཇཱ་སི་ཐན,4
གྲལ་རིམ་པ,4
ཇ་རྟའི,4
བྱེད་མིན,4
སླེབས་པས,4
ཟུར་ཞུགས,4
ཉར་བའི,4
འགྲོ་བྲོའི,4
གོང་དུ,4
ཕའི,4
ནམ་མཁའི་ནོར་བུའི,4
མི་མཁས་པ,4
མིག་གསུམ་ཅན་མ,4
མི་རུང་བར,4
དགོན་རྙིང,4
བཅུས,4
ཡར་རྒྱུག་མར་རྒྱུག,4
ར་ཨ་མ,4
གསོ་ཚགས,4
ལབ་ནས,4
བྲག་རིའི,4
ས་ཕུག,4
གཏན་ལ་ཕབ,4
མངོན་ཆུང,4
སྡོད་ཁུལ,4
མ་གྲུབ་པར,4
སྙིང་པོའི,4
རི་གྲོང,4
བསེར་བུ,4
ཐུག་མེད,4
སྙོམ་པོ,4
ལུང་མདོ,4
ཉིས་བརྒྱའི,4
ཕྱག་ཕྲེང་རྫོང,4
འགྲན་ཚན,4
ཞོ་མདོང,4
མིན་མིན,4
ཀརྨ་བློ་གསལ,4
ཟེར་ད,4
སླ་བཅོས,4
ཀྲེ་ཅང,4
དངོས་ནོར,4
ལོག་མཁན,4
ཉུང་བསྡུས,4
ཏུང་ཅིན,4
མགུ,4
ལན་ཆགས,4
རང་སྒེར,4
ཐོན་རྒྱུ,4
འཛུམ་དཀར,4
འགོ་ཁུངས,4
གུར་གུམ,4
མཚན་མའི,4
སྤྱི་མོས,4
དར་ཚོན་སྣ་ལྔ,4
ཞབས་པ,4
སྟག་ལུང,4
འཁྲིད་མཁན,4
བཅར་བའི,4
སྲོག་སྐྱོབ,4
ཆུ་གང,4
ཉེ་སྲས་བརྒྱད,4
དོན་ལ,4
ལས་འཛིན་པ,4
མཐར་སྐྲོད,4
གྲོགས་དན,4
ལྷོ་ཁའི,4
དམྱལ་བ་པོ,4
དངོས་བརྒྱུད,4
འདོད་རྒུའི,4
མཉམ་སྡོད,4
ཀྱེ་ཧུད,4
རྙིང་མར,4
མོ་ཧྲེང,4
དཀར་ཆས,4
ཚོར་ཤེས,4
འཁྲབ་ཡ,4
བསལ་བ,4
གཉེན་བསྒྲིགས,4
སྐྱེད་པར,4
བཞེད་སྲོལ,4
གསས་ཁང,4
དཔེ་མཚོན་ཅན,4
བསྐྱར་འགྲན,4
འགྲོ་ཉེན,4
དབུགས་ལྡན,4
ཀོ་ལྷམ,4
ཀླུང,4
གསང་རྒྱའི,4
ཞག་གསུམ,4
དྲིས་པར,4
བཟོ་ཡི,4
དབུས་གཙང་པ,4
ལྟོས་འ,4
བཤད་རྩལ,4
འཇེབས་པ,3
གླང་དར་མའི,3
ཐོག་མའང,3
གྱ་གྱུའི,3
ཇོ་ནང་བ,3
དད་སྟོབས,3
བསོད་ནམས་དཔལ་འཛོམས,3
ཁེབས་པའི,3
ལས་བཟོ་པར,3
ཇུས་འགོད་པ,3
བྲིས་རབས,3
ནམ་མཁའ་བཀྲ་ཤིས,3
ཐར་ས,3
མ་ལབ་པ,3
ས་བབས,3
སྟོན་པ་པོ,3
ཤུགས་སྣོན་པ,3
ཟམ་མི་ཆད་པ,3
རྩྭ་ཟ་བ,3
བཀྲ་ཤིས་ཤོག,3
གནས་ཁང,3
མཎྚལ,3
ངང་ལག,3
འདས་ཟིན་པ,3
ཁྲག་ཐིགས་པ,3
དྲིལ་སྒྲོག་ཁང,3
དུག་སྦྲང,3
བཟའ་མཁན,3
སྐྲག་པའི,3
བྲིན་པ,3
མཁྲེགས་མཁྲེགས,3
གཤེར་ཁུ,3
མ་བཀླག,3
སྐུ་དྲུང,3
ཕར་ལ,3
འཁོར་བ་འཛིན་པ,3
ཁྲེན་ཏུའུ,3
སྨྲོས་མེད,3
ཕན་པའང,3
དཔྱད་མོལ,3
སེམས་སྐྱེས,3
དཔལ་ལྡན་ལྷ་མོ,3
ཚད་ཡོད་ཀུང་སི,3
ཧམ་སྤུ,3
གསེར་སྐྱེམས,3
མ་ཀློག,3
མྱ་ངམ,3
དམག་མིས,3
གྲངས་ཀ་ཅན,3
ཆུ་ཤིང,3
ལྡེམ་མྱུར,3
སྒྲན་མོ,3
འབེལ་པོ,3
མི་ལེན་པར,3
འདྲེས་པས,3
སྐབས་བསྟུན,3
ཨན་འདར,3
དར་སྐུད་ཅན,3
བློ་བཟང་འཇམ་དཔལ,3
རི་བོ་གྲུ་འཛིན,3
ལག་བརྡ,3
གཏང་རག,3
གནོད་མེད,3
ཡལ་བར,3
བྱིས་སྐྱོང་ཁང,3
རྒུད་པའི,3
ལྐོག་རྔོན,3
མི་ཆེན་པོ,3
གྱོ,3
མགོ་འཁོར,3
རིམ་གྲས,3
བསྟར་བའི,3
མ་འགྱུར་བ,3
མ་ནུས་པའི,3
ཉམས་སྣང,3
དུག་ཆེན,3
ཉང,3
འགྲོན་པོ,3
ཐུགས་མཉེས་པོ,3
ཆུ་གསོག,3
དད་པས,3
སཱ་ར,3
འགྲེལ་པས,3
རྫས་རྒྱུན,3
བཅིབས་པ,3
དབྱི་ཐ་ལིའི,3
རང་དམན,3
མི་འཇོག་པ,3
རྣམ་པར་གནོན་པ,3
མཚོ་རྫིང,3
བྱེ་རླུང,3
གསེར་ཤོག,3
ཡུལ་སྡེའི,3
རྩི་ཏོག,3
གསུངས་འདུག,3
འཚམ་འདྲིའི,3
སྟབས་བདེ་བ,3
མགྲིན,3
སྡུག་པའི,3
འདྲི་ཚིག,3
ལྡོམ་པོ,3
ཆུ་ལེན་པ,3
ཤ་ཁོག,3
རྒན་བསམ་འགྲུབ་ལགས,3
གསར་རྟགས,3
བརྩེགས་མ,3
མིག་ཞགས,3
བསྙད་པ,3
ཁྲི་རྒན,3
ནལ་ཚེ,3
སེར་པོར,3
མགུ་པོ,3
དེའི་ཐད,3
སེར་ཀ,3
འཐག་ལས,3
བཟོ་རྒྱུའི,3
བོད་ལ,3
དབུར་གདན,3
པད་མོ,3
རྩིས་བཤེར,3
ཁྲོག་སྒྲ,3
མཆོངས་སྐབས,3
སྐྱིན,3
ཐོལ་བརྒལ,3
འཐུང་སྟངས,3
ཕྱི་དགྲ,3
མི་གཡོ་བ,3
བྲིས་མེད,3
བཙན་འཕྲོག,3
གཏན་ཚིག,3
ཁ་རྫི,3
གཏོང་ཤུགས,3
ཡོད་སར,3
སྐར་རྩིས་རིག་པ,3
སྐྱབས་འགྲོ་བ,3
ཆེན་མོས,3
པྲ་སྒྲུང་པ,3
གཏེར་ལམ་རྫོང,3
མངའ་བས,3
སྙན་ངག་པས,3
གསེར་ཞྭ་ཅན,3
དཔྲལ་ཀོག,3
དཔོན་ཆུང,3
དེ་ཕོ,3
མདོར་བསྡུས་ནས,3
གཙེས་པ,3
མེ་དྲོད,3
བཏགས་པའོ,3
བྱུང་ལུགས,3
ལག་འོག,3
འཇིམ་བརྙན,3
བསྐྱལ་ག,3
ཉེར་འཚེ,3
སྨྲས་སོ,3
ཐུགས་ཆེ,3
འགྲིག་གམ,3
མི་ཐོབ་པ,3
འཁྲུངས་ཚུལ,3
དཀྲི་བ,3
ནག་པོས,3
ཟ་ཚོད,3
ཨར་མཛོད,3
གཉིད་ཉལ་བ,3
དོ་དམ་ཅུའུ,3
ཨུད་པ,3
དགུན་གསོལ,3
གཡག་མགོ,3
སྒྱེ་ཕད,3
རྙེད་ངེས,3
མི་རིག་ས,3
ཉམས་ཆུང,3
རིལ་མོ,3
ཨ་ཧྥེ་རི་ཁ,3
མཛངས་མི,3
ཉར་འཇོག,3
ཨང་སྒྲིག,3
བླ་རི,3
ཁང་ཤིས,3
བཞེད་དགོངས,3
དཔེ་སྲོལ,3
རྨུ,3
གསད,3
དངོས་བྱོན,3
ཟབ་བརླིང,3
དོ་དམ་ཁང,3
མི་སྐྱོན,3
གསལ་ལྷང་ངེར,3
མཉེན,3
རྗེ་བཙུན་དམ་པ,3
འཁྱགས་སྒམ,3
གོ་ཆོད་པ,3
སྡེ་དགེ་པར་ཁང,3
ཡར་ལྟ,3
བཤད་བཞིན,3
ལྷད་མེད་པའི,3
བྲིས་པས,3
རླན་གཤེར,3
བྲག་གཡབ,3
འཁྱེར་རྒྱུག,3
རྒྱུག་ཆུང,3
ཞོ་སྐམ,3
དམག་ཤུགས,3
ངག་དབང་འཕྲིན་ལས,3
ནང་བྱན,3
དགེ་ལེགས་དཔལ་བཟང,3
སྟར,3
དལ་བོ,3
བསླད,3
ལས་ན,3
ཡལ་བོར,3
ཨ་ཁི,3
རྗེས་ཟློས,3
ཐོག་ལ,3
བཀླགས་པའི,3
བླུགས་པའམ,3
ཆོས་སྐྱིད་སྒྲོལ་མས,3
སོ་གསུམ་པ,3
བླང་ན,3
གདན་ཁྲི,3
གཏང་རྒྱུ,3
ལས་སྣེ་བ,3
ཇོ་ཁང,3
རྩ་གཏོར,3
འབྲིང་ཆུང,3
ར་བཤད,3
ཕྱིའི་གཟུགས,3
དེ་བྱུང་འབྲེལ,3
ཚ་གློག,3
རྩ་བདུན,3
ཚ་མོའི,3
ལྐོག་ཤལ,3
བགྲེས་མོ,3
ལེ་ཉིན,3
མགྱོགས་པར,3
བོབས,3
མངོན་གསལ་དོད་པོ,3
ཆ་གཅིག་པོ,3
འཐུས་པའི,3
ཞིམ་མདོག་ཁ་པོ,3
ཆོན་ཆེན,3
ཅེས་པའང,3
ལས་འཕྲོ,3
ཆང་བཅུད,3
ནོར་འཛིན,3
སྦྱར་བས,3
འགྲུབ་བྱེད,3
མདོའི,3
སེམས་གཙོ,3
དཀར་པོ་དཀར་རྐྱང,3
ཐག་ཉེ་བོ,3
ཁྱོད་ཤི་ང་གསོན,3
དྲན་བཞིན,3
གཟབ་རྒྱས་ངང,3
སེམས་རྩ,3
མི་མཁོ་བའི,3
ཉོ་འཚོང,3
ལྟས་བཟང,3
སློབ་སྤྱོད,3
སྐྱེ་ཚད,3
སྒོ་མཆོར,3
འོངས་ན,3
དུད་སྤྲིན,3
སྤེལ་ཚུལ,3
རུས་ཆེན,3
བརྗོད་གཞིའི,3
གྲུབ་མེད,3
ད་རྒན,3
འདི་ཚང,3
མ་ཤེས་པས,3
བངས,3
མགྲིན་པར,3
ཞིང་འབྲོག་མང་ཚོགས,3
སྐྱེས་འབྲས,3
ཀྲིན་ཧིའི,3
ཧེབ་ལངས,3
ཆོས་འཛོམས,3
འོ་ལེ,3
རྟ་བོང,3
རྗེ་རིགས,3
མ་ཕོག,3
གསང་སྔགས་པ,3
བ་ཡིག,3
ཕྲད་རང་དབང་ཅན,3
རྒྱས་པས,3
ར་བཞིན,3
གསང་ཡིག,3
ཡར་འཐེན,3
གྲིའི,3
བསུམ,3
བརྒྱག་པ,3
གཞིས་རྩེའི,3
མོ་ཕག,3
བརླན་གཤེར,3
མི་ལྡན་པ,3
མི་ཡག,3
འཁྲབ་ན,3
སྐུ་ཞབས་ལགས,3
རྣ་བའི་བདུད་རྩི,3
བཀྲག,3
ཤེས་ཀྱོག,3
མན་ཆོད,3
འདོར་ལེན,3
གླན,3
སྐྱེལ་བཞིན,3
རྒྱལ་སྟོན་དུས་ཆེན,3
གྲགས་པ་བཀྲ་ཤིས,3
ཕུད་རྒྱག,3
མིག་ཡ,3
མི་རག,3
བསླབ་ཁྲིམས,3
འགུགས་ཤུགས,3
མི་ལེན,3
སྦྱངས་ཀྱོག,3
སྟག་པ,3
མི་བཤད,3
འི་རྗེས,3
བཀྲམ་པས,3
གནས་རིར,3
འབོད་ཚིག,3
གོམས་སྟབས,3
འགྲོན,3
རང་བསྟོད,3
མི་ཆེས་པ,3
མ་ཉན་ན,3
གངས་ཏི་སེའི,3
དྲངས་ཚུལ,3
བརྡུང་མཁན,3
གསར་རྟོགས,3
གཡང་འཛོམས,3
ཟ་ལར,3
སྐྱར,3
ཁྲག་རྗེས,3
ཆོས་ཚུལ,3
བཀངས,3
ཤི་རྫུན,3
རྒྱལ་མཚན་དར་རྒྱས,3
ས྄,3
འབྲུ་ཁལ,3
མགྱོགས་འདོན,3
བརྩེ་གཞས,3
ལྟོས་པའི,3
འཕྲིན་ལས་རྒྱ་མཚོ,3
བྲོ་བ་མྱོང,3
བསམས་ནས,3
སྔ་ལྟས,3
ཟིན་ཐོའི,3
མ་ཞུས,3
ཞ་སྨྱུག,3
ཤ་ཐུད,3
གཟུགས་པོའི,3
གཡོ་མེད་འགུལ་མེད,3
གྲུ་རིན,3
གྱེན་འཕྱུར,3
གྲི་མདུང,3
སྨི་སྨི་ལགས,3
ལེགས་བྱང,3
བྱུགས་པའི,3
ཨོ་ལེམ་ཕིག,3
བརླག་པའི,3
ངན་གསོད,3
རྩ་ཆུ,3
ཐོ་རངས,3
བཟོ་ཁ,3
མཆོག་ཏུ་གྱུར་པའི,3
ལྕགས་སྟག,3
བསྟར་ཆགས,3
དགུང་མོ་ཆེར,3
ཉིང་པོའི,3
རྭ་རྒྱ་དགོན,3
གཏེར་ཁའི,3
སྦྲུལ་ཁུང,3
རིགས་བཞིའི,3
སྙིང་དབུས,3
བཀྲ་གསལ,3
ལྷག་མའི,3
འགེངས,3
འདྲ་མིན་འདྲ,3
མི་དྲན,3
མི་བརྩི་བ,3
རེ་ཐག,3
བདམས་ལེན,3
འགྲིག་ག,3
ལུག་ལྤགས,3
བསྡོད,3
འདོད་རྔམ་ཅན,3
ཨ་གྲོ,3
ཕྱེ་མཁན,3
ཐུབ་བསྟན་མཁས་སྒྲུབ,3
ད་སླ,3
བཅུ་དགུ་པའི,3
འགྲིམས་པ,3
རུ་ལག,3
བྱང་ཆུབ་སེམས,3
ཁ་བྲག་ཅན,3
ཕག་མགོ,3
གྲགས་ས,3
གཅིག་སེམས་གཅིག,3
མ་བྲོས,3
ནེའུ་གསིང,3
སྒར་པ,3
དེང་རབས་སྙན་ངག,3
སྙུང,3
བ་རྫི,3
ཁལ་རེ,3
གཞོམ,3
ཡིན་ཡིན་པ་རེད,3
ཁ་ཏོག,3
མ་མཁྱེན་པ,3
མགོ་ལོག་རྟ་བོ,3
བ་ཚྭའི,3
ཞིང་པས,3
འཚོ་ཞིང,3
བསྐོར་མཁན,3
ལྷ་ཆོས་རིག་པའི,3
སྐོམ་པ་ཆུ་འདོད,3
མ་ལུས་གཅིག་འདུས,3
ལྕགས་ལྭ,3
དར་ཞོ,3
སྲ་ཤིང,3
ལོགས་ཁ,3
དབང་རིས,3
ཕག་གྲུ,3
ལས་བསོད,3
མ་ཁེངས་པ,3
ཆེད་འཛུགས,3
གནང་སྐབས,3
གསལ་འདེབས,3
སྐབས་ལ,3
ཟབ་མོས,3
བྲག་ལ,3
ཨ་ཡེ་ལགས,3
སྐབས་བཅུ་གཉིས་པའི,3
ཏིང་ཤགས,3
འགྲམ་ལྕགས,3
རོགས་པར,3
ཨ་ཤྲ་མ,3
ཚ་ངད,3
ལོ་རྒྱུས་ལྡན་པའི,3
འདི་གྲས,3
སྣུམ་བཅུད,3
ཁེལ་པ,3
སྟོན་བསྡུས,3
བསོད་ནམས་ལྡན་པ,3
བསྒྱུར་པ་པོ,3
མ་སྨད་གཉིས,3
སྔ་སྲོལ,3
སྐམ་རློན,3
ཕར་རྒྱུག,3
གདའ་ལེ,3
འཕྲུལ་རིག,3
ལུང་པ་གང,3
འདམས,3
འདྲོགས,3
བྱེ་མའི,3
ཆོས་སྲིད་གཉིས,3
ལག་འཇབ,3
བྷན་ཀོ,3
འགྲུལ་སྐྱེལ,3
འགོག་རྒོལ,3
སྦྲེལ་དྲའི,3
མི་མཐུན་པར,3
ཧ༌,3
ཨེ་འགྲོ,3
ཐམ་མེ་ཐོམ་མེ,3
བརྟན་སྲུང,3
མི་ཚུལ,3
གྲོང་བ,3
སྔ་སྣུར,3
བདེ་གནས,3
རོ་ལངས,3
དམངས་ཚོའི,3
ཀྲོའུ་རྒྱལ་རབས,3
གཤིན་ས,3
གཟུགས་རྒྱན,3
བརྡ་སྤྲོད་རིག་པའི,3
སྦ་བ,3
རྣ་ཆ,3
ས་དགེ་བཀའ་རྙིང,3
འཕེལ་ཡ,3
དེ་མེད་དུས,3
སྐྱོབ་པར,3
འཕྲད་ཚེ,3
ས་རུབ་པ,3
བླུག་གོ,3
ཚ་སྣང,3
ཞུ་ས,3
ཨ་གསར,3
གྲོང་འགོ,3
བག་ལ་ཉལ་བའི,3
བདག་གཅིག,3
འ་ཞའི,3
གཙུག་ལག་ཕྲེང་བ,3
བླུན་པོའི,3
རྒྱུན་གནས,3
ཙཱ,3
མི་འཛིན,3
གྱར་བ,3
ཡོང་དོན,3
དགེ་གྲོགས,3
མར་བབས,3
ཉི་མ་རྟག,3
བསྡེབས་པས,3
ཁྱོག,3
ཤེས་སྤྱོད,3
ནལེནྜ,3
ཀྲུང་གོ་བ,3
འབྲོང་ཁྱུ,3
རྟབ་རྟབ་པོ,3
ཐོགས་མཁན,3
བབ་མཁན,3
གནས་ཐབས,3
རྟ་ཆས,3
མ་ནུས་ན,3
མཁྱེན་ན,3
དམག་མིའི,3
གཡུའི,3
སྙན་ཞུར,3
ཡིག་དཀར,3
གང་ནས,3
ཚུར་འཁོར་དུས,3
ཆུ་ཚོད་རེ་ལ,3
རྫས་བརྒྱད,3
མཛོ་སྒང་རྫོང,3
གཟུགས་བཟང,3
ཤུལ་ལུས,3
ཁྱིམ་ཐབས,3
རྩལ་སྟོབས,3
དགུ་པོ,3
མི་ཕན་པ,3
རང་འབྱེད,3
ནར་སོན་པའི,3
ཟན་པ,3
ཆོ་མེད་ཀྱོག,3
ནད་རྙིང,3
ཆག་འཇིག,3
ཤིང་ཆས,3
ཐུམ་འབུའི,3
འབྲལ་མེད,3
པོད་ཕྲན,3
ལྕགས་བཟོ,3
འཁེལ་བཞིན,3
མང༌,3
མ་བསྡད་ན,3
སྤྲོ་བར,3
ཞེས་བ,3
སྐྱིད་གྲོང,3
ཆོས་ཁྲིམས,3
སྨྱུག་ཐོགས་པ,3
གཞན་བརྟེན,3
མི་འཇིགས,3
སེམས་འགྱུ,3
གྲོངས་པས,3
ཐུང་ངུར,3
བཀྲིས་བདེ་ལེགས,3
གཡང་འགུག,3
རྒྱུད་པས,3
སྐྱེ་རྒྱུན,3
གཟིར,3
ཐུགས་བྲེལ,3
ངུ་མཚམས,3
མ་མཁྱེན,3
མཇུག་བ,3
གཙོ་འཁྲབ,3
མ་རྙེད་ན,3
སྒྲིག་བཟོ་བ,3
མཐུག་ཚད,3
བསླབ་སྟངས,3
སྦེད་པའི,3
ཞིང་འདེབས་པ,3
དགུ་ཚིག་མ,3
ནོག,3
ཁ་ལོ་བསྒྱུར,3
ཆིན,3
ཡར་ལོག,3
ངས་ནི,3
ངེས།,3
སྤུས་དག་པོ,3
འཁྲིད་དུས,3
རྙིང་སོང,3
སློབ་འབྲས,3
ཚོགས་ཐུན,3
འདི་ཡང,3
རྒྱ་སྨན,3
བཟང་བས,3
སྒོ་གདོང་སྒོ་མོ,3
རིམ་པ་ཁག,3
གོག་པོ,3
རྒྱག་ཁུལ,3
མིག་སྨན,3
གཤེན་པོ,3
རྒྱན་འཇོག,3
ཁྲི་པི,3
སློབ་ཚུགས,3
མི་བཟད་པ,3
ཙུང་ཐུང,3
ལྔ་པས,3
སྲོག་ཡོད,3
ཚར་མཁན,3
ལི་ཡུན་ཁྲིན,3
ལུག་ལོ,3
རེ་རེ་ལ,3
ལྡེས,3
ཆོས་བྱེད་མཁན,3
མགོ་ལེབ,3
བོད་ཀྱི་ཤེས་རིག,3
ཚོ་བས,3
སྲབ་པོ,3
ཉལ་སྐབས,3
ཕྱེད་ཀ་ཙམ,3
སྤེལ་པའི,3
སྒྲོག་སྤེལ,3
སྦུག་མ,3
ཟོང་རྟགས,3
ཁེལ་བར,3
ཚེར་ཤིང,3
གཅེས་བཏུས,3
འཁུར་ལེན,3
རྟིང,3
ལྷད་མེད་པ,3
གླིང་ཁ,3
དུས་རྒྱུན་དུ,3
གཟིགས་རྟོགས,3
དཔེ་སྒྲིག,3
རྒྱལ་མཁར་རྩེ,3
ལྷག་དོན་དུ,3
གྲང་ཟུག,3
སེང་སྐུད,3
མཁྱེན་མཁྱེན,3
དབུ་གཙོ,3
རྫོགས་རྒྱུ་མེད་པ,3
ལུག་རེ,3
ཞེ་ཆེན,3
བཀྲ་བྷ,3
རྟ་སྒྲོ,3
དཔལ་འབྱོར་གསར་འགྱུར,3
བག་ཆོག,3
ར་འཐག,3
ཇོ་བོ་རྗེའི,3
ཤེས་རམས་པའི,3
ཁྱིམ་བདག་ཚོས,3
ཨ་མེས,3
ཚ་བསུར,3
སངས་རྒྱས་དོན་གྲུབ,3
འཇིག་རྟེན་ལྟ་ཚུལ,3
དགའ་ལྡན་ཤར་རྩེ,3
གྲོང་བའི,3
ཁམས་སྟོད,3
མཐེབ་གནོན,3
ཚོང་གཡོག,3
རྒྱོ,3
འབར་རྡེའུ,3
སྟེར་ངེས,3
ཐ་ཤལ་བ,3
ཁ་བཤད་ལག་བསྟར,3
ས་གཞོང,3
སྲོལ་གཏོད་པ,3
ནུབ་ཕྱོགས་པ,3
སྐར་མཚམས,3
ཤིང་སློང,3
གཉིད་ཁུལ,3
ལུས་ཚད,3
དང།,3
སྨྲོས་པ,3
ཆབ་སྲིད་ཅུས,3
དྲྭ་ཕྱེད,3
ཁྱད་མཚར་བའི,3
ཟླ་ཕྱེད,3
རྒྱལ་རྩེ་རྫོང,3
གང་ཡང་མེད,3
སྐལ་ལྡན་པད་ཡེས,3
དགའ་བ་འབུམ,3
གཉིས་གཤིབ,3
དུས་ངན,3
ཀ་རྡོ,3
སྐུ་གཤེགས་པའི,3
ཐུགས་ཁྲལ,3
སྟོབས་བཅུ,3
སྐྱབས་གཅིག,3
གློ་བར,3
བོད་གསོ,3
ཨི་ཊ་ལི,3
གྲང་བའི,3
ཕྱུག་པོར,3
དབུལ་ཕྱུག,3
མདུན་ཤོག,3
གཡོན་སྐོར,3
ཞལ་འབག,3
བཀྱགས་པ,3
མིག་གསུམ་པ,3
བར་ལམ,3
གཙོ་ཤོས,3
མུ་ཏིག་བཙན་པོ,3
རྒྱ་སེའི་མེ་ཏོག,3
ཧཧ,3
དབང་པོ་ལྔ,3
ཁ་ཏ་བསླབ་བྱ,3
ཚི་སྣའི,3
ས་སྐྱ་དགོན་པར,3
མ་ཤོད,3
རྒྱལ་མོ་འབྲུག་པ,3
མི་རྟ་གཉིས,3
ཆབ་མ,3
སུ་ཇ,3
སློབ་དཔོན་ཆེན་མོར,3
དགུ་བཅུ་པ,3
དོ་ཟླ་མིན,3
ཆུང་ཐག་ཆོད,3
བྲོ་བོ,3
ཟུར་སྐུད,3
བཟེད,3
དབྱར་ཀ,3
རྒྱ་རུ,3
བསུབས,3
འོ་འཐག,3
ཇ་ཕོར,3
རྐེད་དཀྲི,3
གཏོར་བཟློག,3
ཆུ་ཟོ,3
གྱར་བའི,3
ལྷུངས་པ,3
ཡུམ་སྲས,3
དཔུང་འཇུག,3
སྦྱངས་རྩོམ,3
རོང་ཕྱོགས,3
མི་འོས་པར,3
འཚེ,3
སྒྱུར་བཟོའི,3
བསམ་བློས,3
རྫབ་ཡ,3
དཀར་ནག་ཁྲ་གསུམ,3
འཁུར་བའི,3
ཉི་ཤུ་སུམ་ཅུ,3
བྲོས་རྩིས,3
ལྷ་ཆེན་པོའི,3
དོ་མཉམ་པ,3
སྒོ་རུ,3
མཚམས་མཚས,3
དཀོན་པར,3
དངན་པ,3
མ་བསླད་པར,3
གསེར་ཅན,3
གྲགས་ཤིང,3
ཟང་ངེ་ཟིང་ངེ,3
ངོས་དཔང,3
དཔོན་ཁག,3
དབང་ཤེད,3
སྤྱི་བྱེ་བྲག,3
ཏན་མེག,3
ནོར་བུ་ཕུག,3
ཕར་ཁ,3
དགོ,3
འདེམ་སྦྱོང,3
མར་ལྟ,3
རྩོམ་བྱང,3
ཤ་དྲོན,3
བེེ་སེར,3
འཁྲུགས་པའི,3
དབྱི,3
རྭ་ཡས་མ,3
མགོན་ཆོས,3
མ་ནུས་པས,3
འཁྱུག་འཁྱུག,3
དཀྲུགས་བཞིན,3
གྱང་རོ,3
བྱེད་གས,3
སྐྱོབ་རོགས,3
དཔེ་གཞུང,3
གང་ཡང་རུང་བ,3
དགེ་འདུན་རྒྱ་མཚོ,3
ཡོན་ཏན་པ,3
གཏོགས་པར,3
མི་ཟིན,3
བློ་བཟང་རྒྱ་མཚོའི,3
མ་འཁྱེར་བ,3
གཡང་སར,3
རྡོ་རྗེ་སེམས་དཔའ,3
ཐུང་བའི,3
མ་སྤྲད་པ,3
ལྕོགས་ཚོད,3
འཇམ་ཐིང་ངེ,3
བཤད་དགོས་པ,3
དུས་སྒང་ལ,3
ལོན་ན,3
བརྒྱབ་ཉན,3
སྐྱེ་འཚར,3
ཇ་གསོལ,3
ཕྱིས་ན,3
བརྙན་ཚན,3
རི་བྱིའུ,3
གཙོའི,3
དྲན་འཕྲུལ,3
ཕུལ་བྱུང་ཅན,3
ཡིད་འགུགས,3
བྱུང་མེད་པ,3
བག་ཡོད,3
མི་དག,3
མ་འདུས་པའི,3
བཞེད་པར,3
རྒུད་སྐྱོབ,3
སྐྱོང་ལུགས,3
རྡོར་གདན,3
བྲན་པ,3
གསུང་དོན,3
ཞལ་པར,3
འཇུག་ས,3
ག་གེ་མོས,3
ཞི་རྒྱས་དབང་དྲག,3
བསེ་ཆང,3
འུར་རྡོ,3
རྒྱལ་མོ་རྔུལ་ཆུའི,3
ཀེ་རི་སེ,3
གཅིག་འཕྲོ,3
ཚི་དྲེག,3
མགོ་འདྲེན,3
དཔེ་དཀོན,3
ཕྱུགས་འཚོ,3
མི་འཕྲོད,3
ལེན་སྲོལ,3
དབྱེ་སྟངས,3
ཧྲེན་ཧྭ,3
དོན་གསལ,3
དྲོད་འཛིན་པའི,3
ལག་རྟེན,3
ཁྲིམས་སྲིད,3
ལྡུད,3
སྔོགས་འདོན,3
ཡར་ལ,3
ཉལ་བའི,3
ཐེམ་ཆེན,3
ཐེངས་གཉིས,3
ཚི་ལུ,3
རིས་འབྲི,3
ཆོས་ཀྱི་ཕུང་པོ,3
ཅི་དགའ,3
མཆོད་ཁྲི,3
སྦྱིན་སྐལ,3
མཉམ་གཏོང,3
མིག་སྔུན,3
མི་སྤྲོད་པ,3
སྔར་བྱུང,3
མ་བདེན,3
ཡེ་གེ,3
དུ་བས,3
མི་འཚམ་པ,3
ཚེམ་བུ,3
སྒོམ་མཁན,3
སུ་ལུ,3
ཆད་ཡ,3
ལྷ་མཚོའི,3
བྱས་ཚད,3
གྱེར་གཞས,3
དྲན་གདུང,3
ཕོ་ཡིག,3
ཕྲ་བོ,3
གོས་ཧྲིལ,3
སྐྱོན་ཡོན,3
བསྟོད་ར,3
ཤ་མར,3
མཚན་དཔེ,3
ཚད་མ་རིག་པའི,3
བསྡུ་ཚད,3
བསྲུབ,3
ཟ་པ,3
ཆུང་ན,3
འཚོལ་བཞིན,3
རྙིང་མ་བའི,3
དཀྲུགས་ཙམ,3
གཡུགས་ན,3
རྨི་ལྟས,3
སོར་གདུབ,3
མཚན་འགོད,3
མུ་སྟེགས་ཅན,3
དགོས་དོན་མེད,3
ལུག་མཉེ,3
བྱ་ཐབས་ཟད,3
ཐོག་ན,3
ལྟོ་བར,3
མི་དགོས་བ,3
ཟླ་ཚོགས,3
ཕྱག་བརྒྱ་པ,3
སྤ་སེའི,3
ནཱ་ད,3
རྩུབ་ས,3
རིན་ཐང༌,3
ཕྱེས་ཡ,3
རྫུན་བཤད,3
གཡག་རོ,3
རྟོགས་དཔྱོད,3
གནས་ངེས་མེད,3
སེ་ར་དགོན,3
ཤི་སྟངས,3
སྔོན་མོས,3
བརྡ་སྐད,3
སྒྲོལ་སྐུ,3
ལྷ་སྲིན,3
བོད་བསྒྱུར,3
